source_report,finding_id,creator_or_channel,date,video_title,video_url,video_id,evidence_excerpt,timestamp,category_or_rule,severity,confidence,classification,missing_context,required_follow_up
"agent-findings-stephen.md","SH-01","Stephen Harris / Real Estate Steph CTX","Current About page","Builder-paid commission rebate","https://www.youtube.com/channel/UCvwxIfW2u71mpzrKastNbDg/about","UCvwxIfW2u71mpzrKastNbDg","“our subscribers who buy with us can receive up to a $5,000 cash rebate from our builder-paid commission. Let us pay YOU to buy a home.”","About page","TREC/FTC material terms; settlement-payment/RESPA; consumer disclosure","Moderate–High","High public promise; low ultimate legal conclusion","Broker/counsel review flag","Rebate policy, brokerage/builder/buyer agreements, lender/closing approval, restrictions, caps/calculation/payment form","Publish clear terms and run broker/lender/settlement review"
"agent-findings-stephen.md","SH-02","Stephen Harris","2024-09-20; 2025-05-06; 2025-07-23; current About","Public NMLS number inconsistency","https://www.youtube.com/watch?v=-CpNohOpgaw; https://www.youtube.com/watch?v=18WLFA46NT4; https://www.youtube.com/watch?v=z7GOddPjiio","-CpNohOpgaw; 18WLFA46NT4; z7GOddPjiio","About: NMLS 2563024; descriptions: Licensed Mortgage Loan Originator NMLS 2453024; one uses 2453024 and later “Personal NMLS2563024.”","About/descriptions","Loan-originator identity / potentially misleading advertising","High","High public discrepancy","Review flag; unknown which number correct","NMLS Consumer Access record; current sponsorship/intended copy","Verify then correct/preserve records as counsel directs"
"agent-findings-stephen.md","SH-03","Stephen Harris","2026-01-14","Central Texas Homeowners Should Watch This Closely","https://www.youtube.com/watch?v=5i1Q2eGhiS0","5i1Q2eGhiS0","“right now it’s at 92.5”; “If you get close to that 7 and a half% less than market value when you price, you will likely sell very very fast”; “My home sellers actually get 100% on average. So the average is actually 99.7.”","00:08:45; 00:09:08; 00:09:44","Seller-performance / market-statistic substantiation","Moderate","High claims; medium risk","Review flag","MLS/source report, dates, definitions, geography/property filters, sample and matching cohorts","Retain methodology and clear non-guarantee qualification"
"agent-findings-stephen.md","SH-04","Stephen Harris","2025-01-25; 2025-12-19; 2026-02-14; 2026-02-21; 2026-04-19","Crime, school, and family location recommendations","https://www.youtube.com/watch?v=9rv_Mx_ptug; https://www.youtube.com/watch?v=NqdQuHgTEek; https://www.youtube.com/watch?v=QdF070z89d0; https://www.youtube.com/watch?v=GIHqfOVHm7E; https://www.youtube.com/watch?v=YVThYKqdxW8","9rv_Mx_ptug; NqdQuHgTEek; QdF070z89d0; GIHqfOVHm7E; YVThYKqdxW8","“They have the highest crime rates. If there are places for you to avoid, I would say those might be it”; recommends neighborhoods for “lower crime rates”; “too ghetto”; “Choose Harker Heights if you have kids in school or babies on the way”; “family-first choice.”","00:03:49; 00:04:14–00:04:24; 00:04:33; 00:09:56–00:10:03","Fair-housing/steering review; safety/school/familial language","Moderate","High recorded language; low–medium legal conclusion","Elevated review pattern, explicitly not definitive FHA finding under current HUD guidance","Sources/dates, consistent treatment, viewer-specific communications, intent, full scripts/edits, neutral links","Use neutral, consistently applied source-based criteria; avoid “avoid,” “safest,” “best,” “ghetto,” and family-preference phrasing"
"agent-findings-stephen.md","SH-05","Stephen Harris","2025-06-26","I Found Every Home Builder Incentive…","https://www.youtube.com/watch?v=e3qetio6pLc","e3qetio6pLc","“have to use [the] preferred lender most times to get incentives”; discusses 4.99% and 3.99% rates, “$300 less a month,” “up to $15,000 flex cash,” and 680 credit-score threshold.","00:00:51; 00:01:27–00:02:14; 00:08:11; 00:10:44","Mortgage/FTC material terms; builder-preferred-lender disclosure","Moderate","High quotes; low legal conclusion","Transaction-specific disclosure review; no conclusion made","Lender/sponsorship, lock/expiration, APR/points/term, eligibility, builder terms, visual disclosures, ad classification","Frame-level loan/incentive QA"
"agent-findings-rankings-batch.md","C-01","Carmen Colón Homes Team","Current About","Team/broker role","https://www.youtube.com/@carmencolonhome","UCrN5LHFTL2qwkmd9z-90RgA","“Carmen T. Colón, CEO & Founder of The Carmen Colón Homes Team...”","About page","TREC team/broker role clarity","Medium","High excerpt; low-to-moderate risk","Clarity concern; title includes Keller Williams Realty which reduces risk","Approved team/DBA and broker approval","Clarify sponsoring-broker relationship adjacent to role"
"agent-findings-rankings-batch.md","C-02","Carmen Colón Homes Team","Current About","Sales-volume claim","https://www.youtube.com/@carmencolonhome","UCrN5LHFTL2qwkmd9z-90RgA","“OVER 300 MILLION SOLD!”","About page","Objective performance-claim substantiation","Medium","High excerpt; moderate risk","Substantiation concern","Lifetime/team/individual basis, gross metric, underlying records","Add period, geography, basis, source"
"agent-findings-rankings-batch.md","C-03","Carmen Colón Homes Team","Current About","Ranking/award claims","https://www.youtube.com/@carmencolonhome","UCrN5LHFTL2qwkmd9z-90RgA","“America’s Top 100 Real Estate Agents® - Top 1% Nationwide” and “Keller Williams Realty Lone Star Top Producing Agent 2015-2021.”","About page","Ranking/award substantiation","Medium","High excerpt; moderate risk","Substantiation concern","Issuer, method, year, records","Identify issuer/category/year/method"
"agent-findings-rankings-batch.md","C-04","Carmen Colón Homes Team","Current About","Comparative seller performance","https://www.youtube.com/@carmencolonhome","UCrN5LHFTL2qwkmd9z-90RgA","“selling homes fast, and commanding more per square foot than other listing agents in the Fort Hood area.”","About page","Comparative performance substantiation","High","High excerpt; moderate risk","Substantiation concern","MLS study, period, comparator, controls, method","Provide broker-approved comparative study/qualifiers"
"agent-findings-rankings-batch.md","J-01","Jean Shine / Shine Team","Current About","Top-team claim","https://www.youtube.com/@TheShineTeam","UCw9DgzcPb_rhdp3VHFFo_8Q","“consistently ranked the top team with Coldwell Banker.”","About page","Ranking substantiation","Medium","High excerpt; moderate risk","Substantiation concern","Issuer, dates, market, criteria","State scope/basis/year"
"agent-findings-rankings-batch.md","J-02","Jean Shine / Shine Team","Current About","Faster/more-money claim","https://www.youtube.com/@TheShineTeam","UCw9DgzcPb_rhdp3VHFFo_8Q","“proven sales system is designed to sell your home faster for more money.”","About page","Comparative outcome/performance substantiation","High","High excerpt; moderate risk","Substantiation concern","Study, timeframe, controls, goal-vs-typical result","Qualify or document comparison"
"agent-findings-rankings-batch.md","J-03","Jean Shine / Shine Team","Current About","Puffery/expectation cue","https://www.youtube.com/@TheShineTeam","UCw9DgzcPb_rhdp3VHFFo_8Q","“high level of customer care” and “the most stress-free move you can imagine.”","About page","Consumer-expectation / puffery","Low","High excerpt; low risk","Puffery review, not performance finding","Whether specific guarantee appears elsewhere","Avoid presenting as guaranteed result"
"agent-findings-rankings-batch.md","P-01","PRC Properties Group","2025-05-05","Should You Buy a House Now or Wait for 2026?","https://www.youtube.com/watch?v=BjOyE9UrCtk","BjOyE9UrCtk","NAR “projects home values will appreciate by 3 to 5% over 2025” and “$10,500 to $17,500 in value gain”; “Waiting almost always means paying a higher home price.”","00:02:34–00:02:51; 00:03:44–00:03:50","Forward-looking market/financial claim sourcing","Medium","High excerpt; moderate risk","Sourcing/qualification concern","NAR report/date, national/local scope, disclaimer, tax/financial advice limits","Link source and explain uncertainty"
"agent-findings-rankings-batch.md","P-02","PRC Properties Group","Current profile/direct link","CPN/IABS path","https://www.youtube.com/@PRCPropertiesGroup","UCQIRCIpmSGFVbRXK6OYg6zA","About says PRC is “proudly brokered by EG Realty” and links prcpropertiesgroup.com; audit client received HTTP 405.","Profile/direct link","TREC CPN/IABS verification","Low","High excerpt; no violation inference","Verification item; report did not allege violation","Manual browser check of live site/profile","Check IABS/CPN and broker-approved company name"
"agent-findings-brokerage-pm-batch.md","BPM-01","Century 21 Premier Realtors","2025-07-01; 2025-09-12","5705 Bald Ridge Court","https://www.youtube.com/watch?v=SEnO3JedXcg; https://www.youtube.com/watch?v=zrwqx1S0JYU","SEnO3JedXcg; zrwqx1S0JYU","“it’s perfect for families or those seeking extra space.”","Description","Familial-status audience cue","Medium","High evidence; medium concern","Potential preference-language review; not exclusion evidence","Full player/overlay; broker wording standard","Describe bedrooms/lot/flexible space"
"agent-findings-brokerage-pm-batch.md","BPM-02","Century 21 Premier Realtors","2026-02-16","110 Ayla Marie Drive","https://www.youtube.com/watch?v=mmGVWB_fako","mmGVWB_fako","“Looking for a big home for your family? ... designed for a growing family!” and “playscape ... for the children to play.”","Description","Familial-status audience cues","Medium","High evidence; medium concern","Potential review","Full player; agent-authored versus syndicated text","Use neutral property facts"
"agent-findings-brokerage-pm-batch.md","BPM-03","Century 21 Premier Realtors","2026-02-17","606 Redbud Drive","https://www.youtube.com/watch?v=uUkY_pvzyxE","uUkY_pvzyxE","“gives you plenty of room for your children to play!”","Description","Familial-status audience cue","Medium","High evidence; medium concern","Potential review","Full player; author/source","Use neutral yard/space language"
"agent-findings-brokerage-pm-batch.md","BPM-04","Century 21 Premier Realtors","2026-05-13","2601 Coach Drive","https://www.youtube.com/watch?v=0NuxTp_35HI","0NuxTp_35HI","“the perfect, stress-free spot for military families.”","Description","Familial-status audience cue","Low–medium","High evidence; low–medium concern","Potential review; military itself not federal FHA class","Whether agent-authored; spoken/visual content","Use neutral base-access/commute facts"
"agent-findings-brokerage-pm-batch.md","BPM-05","Century 21 Premier Realtors","2024-10-24 and later","3105 Yaupon Road and listing feed","https://www.youtube.com/watch?v=VMi_WI1rCks","VMi_WI1rCks","Descriptions state price and use “Homes for Sale”/property-link marketing without current-status date/archive disclaimer.","Description/feed","Stale-status verification","Medium","High old-public-post evidence; low status-falsity","Verification queue, not stale-listing conclusion","MLS/status, property redirects, end screens, description updates","Check/label inactive listings"
"agent-findings-brokerage-pm-batch.md","BPM-06","Expert Rentals & Property Management","2025-08-28","9013 Sage Valley","https://www.youtube.com/watch?v=83phZrxwie8","83phZrxwie8","“KEEP MONEY IN YOUR POCKET WITH SECURITY DEPOSIT ALTERNATIVE POWERED BY OBLIGO.”","Description","Fee/tenant-disclosure review","Medium","High evidence; low–medium concern","Terms-review item","Obligo agreement, price, eligibility, alternatives, lease flow","Disclose terms and traditional-deposit option"
"agent-findings-brokerage-pm-batch.md","BPM-07","John Reider Properties","Current About","Rental-company ranking","https://www.youtube.com/channel/UChfEhOd71uTgQaZPyy7rN-w","UChfEhOd71uTgQaZPyy7rN-w","“one of the leading rental companies in the area” and “the best Harker Heights Property Management services.”","About page","Comparative-claim substantiation","Low–medium","High evidence; medium concern","Substantiation review","Source/method/date/market; puffery intent","Support or qualify claims"
"agent-findings-brokerage-pm-batch.md","BPM-08","Linnemann Realty","Current About","Growth claim","https://www.youtube.com/channel/UCdGuhzT0IUrH81vQN9tY6MQ","UCdGuhzT0IUrH81vQN9tY6MQ","“Recognized as one of the fastest growing property management and real estate companies in central Texas.”","About page","Comparative-growth substantiation","Low–medium","High evidence; medium concern","Substantiation review","Recognition source, period, comparison set, metric","Support/qualify"
"agent-findings-direct-listing-batch.md","DL-01","Robert Herrings Jr; Teresa Ingram; Joanna Pearce","2026-07-22; 2026-07-23; 2026-06-26","171 Hurst Place Boulevard; 606 Redbud Drive; 1706 Phyllis Drive, Copperas Cove","https://www.youtube.com/watch?v=KZVdx2EsqL0; https://www.youtube.com/watch?v=XdWkk6bAiWs; https://www.youtube.com/watch?v=iV0aBAwDwMw","KZVdx2EsqL0; XdWkk6bAiWs; iV0aBAwDwMw","Current About profiles blank; each has local address-only real-estate tours.","Channel profile","TREC identity/broker disclosure","Moderate","High profile facts","Follow-up; not completed violation","Banners, end cards, descriptions, pinned comments, actual frames","Render/playback check all disclosure paths"
"agent-findings-direct-listing-batch.md","DL-02","Sujin Park Henson; Spradley Properties","2026-06-24; 2026-05-06; 2026-04-16","JUST LISTED in Harker Heights; Cozy 1x1 at Autumn Chase; Your New Start in Temple","https://www.youtube.com/watch?v=gd8C2EtH98I; https://www.youtube.com/watch?v=MYkFoAUWeMI; https://www.youtube.com/watch?v=vKAqNfEX4ws","gd8C2EtH98I; MYkFoAUWeMI; vKAqNfEX4ws","Sujin About blank; Spradley About says only “Your one stop shop for all real estate needs. Whether you are looking to purchase or lease, our team,” while videos promote rentals.","Channel profile","TREC identity/broker disclosure","Moderate","High profile facts","Follow-up, not conclusion","Links, application/landing disclosures, broker of record, end cards, frames","Check public disclosure path"
"agent-findings-direct-listing-batch.md","DL-03","Nahir Diaz REALTOR®","2026-05-13","2601 Coach Drive","https://www.youtube.com/watch?v=K5Gpv7s8qk4","K5Gpv7s8qk4","“the perfect stress-free spot for military families looking for proximity.”","00:00:49–00:00:51","FHA §804(c) familial-status advertising","Moderate","High","Potential preference/suitability review","Neutral features, on-screen wording, no household-composition preference","Use “near Fort Cavazos” and feature facts"
"agent-findings-direct-listing-batch.md","DL-04","Nahir Diaz REALTOR®","Current channel","Channel-level broker identity","https://www.youtube.com/@NahirDiazREALTOR","UCW0Vt4ukxSblQWRyLF_l6GA","About identifies Nahir Diaz as REALTOR® but no sponsoring broker or public destination; 18 property tours/listing promotions.","Channel profile","TREC identity/broker disclosure","Moderate","High profile facts","Follow-up, not every-video conclusion","Banner, end cards, descriptions, links","Verify disclosures"
"agent-findings-direct-listing-batch.md","DL-05","Twins Realty Team","2026-05-29; 2026-06-05","Overcomer; Twin Cast: What Season Are You In?","https://www.youtube.com/watch?v=MtSaZ_wLYkM; https://www.youtube.com/watch?v=zOOJ9W4P4NE","MtSaZ_wLYkM; zOOJ9W4P4NE","“We’re Cherie and Nicole … As top 1% realtors with over a decade of experience …”","Descriptions","Texas ranking/substantiation","High","High","Substantiation review","Ranking publisher, geography, period, metric, denominator, evidence","Obtain source or qualify/remove"
"agent-findings-direct-listing-batch.md","DL-06","Twins Realty Team","Current channel/site","Team identity and mortgage affiliation","https://www.youtube.com/@Gottwinsrealty","UCiDEHqXl4HEWQZ4mZ1nsbtQ","About markets first-time buyer education but names neither individual license holders nor sponsoring broker. Static site: “TWINS REALTY TEAM — Your Texas Real Estate & Mortgage Experts” and customer text references CMG Mortgage.","About/site","TREC identity; mortgage-affiliation disclosure","Low-to-moderate","High observed info; not final classification","Follow-up; no RESPA kickback inferred","Broker/license, NMLS, ownership/referrals/compensation, consumer choice, footer disclosures","Verify rendered site and agreements"
"agent-findings-remaining-local-batch.md","RL-01","Living at Fort Hood / Hanna Smelser","2026-05-16","PCSing to Fort Hood? Here’s How our Military Buyers Saved $62K on New Construction!","https://www.youtube.com/watch?v=r71Ud2xcSM4","r71Ud2xcSM4","Title: “PCSing to Fort Hood? Here’s How our Military Buyers Saved $62K on New Construction!”","Title","Outcome/savings substantiation; builder incentive/preferred-lender/FTC material terms; possible RESPA context","Moderate–High","High title; low legal conclusion","Review flag","Transcript/visuals, calculation, one-off/typical status, builder/lender terms, qualification/APR/points, preferred lender, settlement docs","Obtain terms and final published asset"
"agent-findings-remaining-local-batch.md","RL-02","Jessica Doree","2025-05-13","#Bloop #Topwater szn & 2.99% rate won’t last! As low as $50 down FREE appliances, closing costs PAID","https://www.youtube.com/watch?v=biq0haoCeiM","biq0haoCeiM","Title: “2.99% rate won’t last! As low as $50 down FREE appliances, closing costs PAID.”","Title","Mortgage-ad/TILA-Reg Z; incentive material terms","High","High title; low ultimate conclusion","Review flag","Lender/builder, rate vs APR, loan terms/points/lock, criteria, cost payer, expiration, visual disclosures","Get exact terms/final asset"
"agent-findings-remaining-local-batch.md","RL-03","Sandee Payne","2024-07-28","Invest in Tiny Homes & Lots at FireFly RV Resort, Fredericksburg, TX | #1 RV Resort in Texas","https://www.youtube.com/watch?v=Fks5Vr6nQHo","Fks5Vr6nQHo","Title includes “#1 RV Resort in Texas.”","Title","TREC/FTC ranking substantiation; investment marketing","Moderate","High title; medium risk","Review flag","Source/method/date/category; compensation/referral; offering docs, return/HOA/management risks","Identify ranking basis and disclosures"
"agent-findings-remaining-local-batch.md","RL-04","Sandee Payne; People 1st / Gloria Watson","2025-01-26; 2025-02-17; 2026-07-01","2250 Hilltop Loop, Killeen Texas- For SALE; 2536 Red Fern Drive, Harker Heights; ACTIVE LISTING - 513 E 27th St. Belton, TX","https://www.youtube.com/watch?v=ofQdNt_BPWg; https://www.youtube.com/watch?v=BO5W6XKvDUY; https://www.youtube.com/watch?v=DXNFOvcHfeI","ofQdNt_BPWg; BO5W6XKvDUY; DXNFOvcHfeI","Public titles “For SALE” / “ACTIVE LISTING” remain discoverable after publication.","Titles","TREC misleading/stale advertisement","Moderate (Jan 2025); Low pending status for remaining","High titles/dates; low current-status confidence","Verification queue, not stale-listing finding","MLS status, edits/comments, dated/status updates, authorization, live availability","Verify/update/remove inactive availability claims"
"agent-findings-remaining-local-batch.md","RL-05","Samantha Hammonds","2025-03-10","The best single family deal in Killeen | PCS to Fort Cavazos | Fully updated house for sale!","https://www.youtube.com/watch?v=jcX1O0LIG1k","jcX1O0LIG1k","Title calls property “The best single family deal in Killeen” and “house for sale.”","Title","TREC misleading/objective-comparison substantiation","Low–Moderate","High wording; low–medium risk","Review flag; “best” may be puffery","Comparator, market/date, status, source, full-video opinion qualifier","Define/qualify comparison and verify status"
